Audit,Status,Test data + comments
Go to the website https://www.adidas.ua/ ,passed,
"Click on ""subscribe to news""",passed,
"enter a valid email, select gender and click ""Subscribe""",passed,galamalko4@gmail.com
Check if the email arrived,passed,
"Click the ""Confirm Subscription"" button in the email",passed,
"Click on the ""Login"" button on the main page",passed,
"Click on the ""Register"" button on the login page",passed,
Enter a valid phone number in the registration field.,passed,380638515045
Enter a valid code from SMS,warning,8274
Enter a valid code from SMS,warning,1584
Complete registration,blocked,
Log in with a valid username and password.,blocked,
"On the registration page, try entering spaces instead of numbers.",passed,
"On the registration page, try entering letters instead of numbers.",passed,
"On the registration page, try entering an insufficient number of digits in the phone number.",passed,38063851504
"On the registration page, try to enter more digits in the phone number than required.",passed,3806385150400
"On the main page, try to find a product called OZWEEGO SNEAKERS",passed,OZWEEGO SNEAKERS
"On the main page, try to find a product called SNEAKERS",passed,SNEAKERS
Check that on the first page of search results all products are SNEAKERS,passed,
Check that on the last page with search results all products are SNEAKERS,failed,
Check pagination on search results for the word SNEAKERS,failed,Open bug report
Open category MEN'S SHOES FROM ORIGINALS,failed,Open bug report
"Click on the ""FILTER"" button",passed,"3 categories applied: men, shoes, originals"
Sort products by highest price,passed,
Sort products by lowest price,passed,
Sort products by new arrivals,can not check,
Sort products by best sellers,can not check,
Apply price filter 7000-999999,passed,
Cancel price filter,passed,
Apply filter by size XL,passed,
Apply gender filter: female,passed,
"Check that if no category is selected in Filters, then there is no filter by product type",passed,
"Check that when a category is selected in Filters, there is a filter by product type",passed,
"Verify that when Accessories is selected, the following Product Types are available: Headwear, Gloves, Bags and Backpacks, Socks",passed,
"Check that if no product type is selected in Filters, then there is no filter by product SUBTYPE",passed,
"Check that when a product type is selected in Filters, there is a filter by product SUBtype",passed,
"Apply filter by Category, Product Type and Product Subtype",passed,"Category - Accessories, Product Type - Bags and Backpacks, Product Subtype - Backpacks"
"Click ""Calculate All"" in the filter panel",passed,The brand filter will remain.
Remove brand filter,passed,
Click on the heart icon on the product,passed,
Check that the product has been added to the favorites list,passed,
Open any product,passed,
"Check the Gallery, Description and About the model sub-items",passed,OZWEEGO SNEAKERS
Try adding an unavailable size to the cart,passed,
Try adding an available size to your cart,passed,
Go to checkout,passed,7.5 UK
Choose a city,passed,
"Check that when a user selects a city, specific delivery methods are presented to them",passed,Kyiv
Check that a price has been calculated for each shipping method,passed,
"Check that when ordering from 2500 UAH, delivery is free",passed,
Choose delivery to Post Office,passed,
Select branch address (post office),passed,1013
Enter Latin characters in the first and last name fields,passed,Ragan Radli
Try not to enter required fields,passed,
Fill in all required fields with valid data.,passed,
"Click ""Place order""",passed,
Check valid Visa payment,can not check,
Check for invalid Visa payment,can not check,
Check payment method Cash on delivery,passed,
Cancel order,passed,
Click on the Track order button,passed,
"Enter a valid order ID and email and click ""track""",passed,
